Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Guatemala,GTM,"Population, female",SP.POP.TOTL.FE.IN,8892431
Guinea,GIN,"Population, total",SP.POP.TOTL,14190612
Guinea,GIN,"Population, male",SP.POP.TOTL.MA.IN,7023590
Guinea,GIN,"Population, female",SP.POP.TOTL.FE.IN,7167023
Guinea-Bissau,GNB,"Population, total",SP.POP.TOTL,2150842
Guinea-Bissau,GNB,"Population, male",SP.POP.TOTL.MA.IN,1062741
Guinea-Bissau,GNB,"Population, female",SP.POP.TOTL.FE.IN,1088101
Guyana,GUY,"Population, total",SP.POP.TOTL,813834
Guyana,GUY,"Population, male",SP.POP.TOTL.MA.IN,398825
Guyana,GUY,"Population, female",SP.POP.TOTL.FE.IN,415010
Haiti,HTI,"Population, total",SP.POP.TOTL,11724763
Haiti,HTI,"Population, male",SP.POP.TOTL.MA.IN,5805698
Haiti,HTI,"Population, female",SP.POP.TOTL.FE.IN,5919066
Honduras,HND,"Population, total",SP.POP.TOTL,10593798
Honduras,HND,"Population, male",SP.POP.TOTL.MA.IN,5347368
Honduras,HND,"Population, female",SP.POP.TOTL.FE.IN,5246431
"Hong Kong SAR, China",HKG,"Population, total",SP.POP.TOTL,7536100
"Hong Kong SAR, China",HKG,"Population, male",SP.POP.TOTL.MA.IN,3467369
"Hong Kong SAR, China",HKG,"Population, female",SP.POP.TOTL.FE.IN,4068730
Hungary,HUN,"Population, total",SP.POP.TOTL,9589872
Hungary,HUN,"Population, male",SP.POP.TOTL.MA.IN,4610510
Hungary,HUN,"Population, female",SP.POP.TOTL.FE.IN,4979362
Iceland,ISL,"Population, total",SP.POP.TOTL,393600
Iceland,ISL,"Population, male",SP.POP.TOTL.MA.IN,201745
Iceland,ISL,"Population, female",SP.POP.TOTL.FE.IN,191856
India,IND,"Population, total",SP.POP.TOTL,1428627663
India,IND,"Population, male",SP.POP.TOTL.MA.IN,736851532
India,IND,"Population, female",SP.POP.TOTL.FE.IN,691776131
Indonesia,IDN,"Population, total",SP.POP.TOTL,277534122
Indonesia,IDN,"Population, male",SP.POP.TOTL.MA.IN,139707831
Indonesia,IDN,"Population, female",SP.POP.TOTL.FE.IN,137826291
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,89172767
"Iran, Islamic Rep.",IRN,"Population, male",SP.POP.TOTL.MA.IN,45002394
"Iran, Islamic Rep.",IRN,"Population, female",SP.POP.TOTL.FE.IN,44170373
Iraq,IRQ,"Population, total",SP.POP.TOTL,45504560
Iraq,IRQ,"Population, male",SP.POP.TOTL.MA.IN,22806498
Iraq,IRQ,"Population, female",SP.POP.TOTL.FE.IN,22698062
Ireland,IRL,"Population, total",SP.POP.TOTL,5262382
Ireland,IRL,"Population, male",SP.POP.TOTL.MA.IN,2608515
Ireland,IRL,"Population, female",SP.POP.TOTL.FE.IN,2653866
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84710
Isle of Man,IMN,"Population, male",SP.POP.TOTL.MA.IN,41947
Isle of Man,IMN,"Population, female",SP.POP.TOTL.FE.IN,42763
Israel,ISR,"Population, total",SP.POP.TOTL,9756700
Israel,ISR,"Population, male",SP.POP.TOTL.MA.IN,4868822
Israel,ISR,"Population, female",SP.POP.TOTL.FE.IN,4887876
Italy,ITA,"Population, total",SP.POP.TOTL,58761146
Italy,ITA,"Population, male",SP.POP.TOTL.MA.IN,28671370
Italy,ITA,"Population, female",SP.POP.TOTL.FE.IN,30089777
Jamaica,JAM,"Population, total",SP.POP.TOTL,2825544
Jamaica,JAM,"Population, male",SP.POP.TOTL.MA.IN,1401001
Jamaica,JAM,"Population, female",SP.POP.TOTL.FE.IN,1424543
Japan,JPN,"Population, total",SP.POP.TOTL,124516650
Japan,JPN,"Population, male",SP.POP.TOTL.MA.IN,60507611
Japan,JPN,"Population, female",SP.POP.TOTL.FE.IN,64009039
Jordan,JOR,"Population, total",SP.POP.TOTL,11337052
Jordan,JOR,"Population, male",SP.POP.TOTL.MA.IN,5868983
Jordan,JOR,"Population, female",SP.POP.TOTL.FE.IN,5468070
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,19900177
Kazakhstan,KAZ,"Population, male",SP.POP.TOTL.MA.IN,9585593
Kazakhstan,KAZ,"Population, female",SP.POP.TOTL.FE.IN,10314585
Kenya,KEN,"Population, total",SP.POP.TOTL,55100586
Kenya,KEN,"Population, male",SP.POP.TOTL.MA.IN,27304201
Kenya,KEN,"Population, female",SP.POP.TOTL.FE.IN,27796386
Kiribati,KIR,"Population, total",SP.POP.TOTL,133515
Kiribati,KIR,"Population, male",SP.POP.TOTL.MA.IN,65144
Kiribati,KIR,"Population, female",SP.POP.TOTL.FE.IN,68371
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,26160821
"Korea, Dem. People's Rep.",PRK,"Population, male",SP.POP.TOTL.MA.IN,12960706
"Korea, Dem. People's Rep.",PRK,"Population, female",SP.POP.TOTL.FE.IN,13200116
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51712619
"Korea, Rep.",KOR,"Population, male",SP.POP.TOTL.MA.IN,25804105
"Korea, Rep.",KOR,"Population, female",SP.POP.TOTL.FE.IN,25908514
Kosovo,XKX,"Population, total",SP.POP.TOTL,1756374
Kosovo,XKX,"Population, male",SP.POP.TOTL.MA.IN,875360
Kosovo,XKX,"Population, female",SP.POP.TOTL.FE.IN,881015
Kuwait,KWT,"Population, total",SP.POP.TOTL,4310108
Kuwait,KWT,"Population, male",SP.POP.TOTL.MA.IN,2616300
Kuwait,KWT,"Population, female",SP.POP.TOTL.FE.IN,1693808
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,7100800
Kyrgyz Republic,KGZ,"Population, male",SP.POP.TOTL.MA.IN,3485887
Kyrgyz Republic,KGZ,"Population, female",SP.POP.TOTL.FE.IN,3614913
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7633779
Lao PDR,LAO,"Population, male",SP.POP.TOTL.MA.IN,3846648
Lao PDR,LAO,"Population, female",SP.POP.TOTL.FE.IN,3787131
Latvia,LVA,"Population, total",SP.POP.TOTL,1881750
Latvia,LVA,"Population, male",SP.POP.TOTL.MA.IN,873699
Latvia,LVA,"Population, female",SP.POP.TOTL.FE.IN,1008051
Lebanon,LBN,"Population, total",SP.POP.TOTL,5353930
Lebanon,LBN,"Population, male",SP.POP.TOTL.MA.IN,2594952
Lebanon,LBN,"Population, female",SP.POP.TOTL.FE.IN,2758977
